overdue,[形]期日を過ぎた
overestimate,[動]過大評価をする
oversee,[動]監督する
oversight,[名]見過ごし、監視
overt,[形]公然の
packed,[形]すし詰めの
pact,[名]条約、契約
pagan,[名]異教徒
painstaking,[形]骨身を惜しまない
pane,[名]窓ガラス
pang,[名]激痛，苦しみ
parasite,[名]寄生虫
parish,[名]教区
participle,[名]分詞
partition,[名]仕切り
passable,[形]通行できる
patriotism,[名]愛国心
peat,[名]泥炭
pedestal,[名]彫像などの台座
peek,[動]そっとのぞく
penguin,[名]ペンギン
pensioner,[名]年金受給者
periodic,[形]周期的な、定期的な
perpetuate,[動]永存させる
persevere,[動]辛抱する
pervade,[動]全体に普及する
perverse,[形]ひねくれた
pester,[動]悩ます
pesticide,[名]農薬、殺虫剤
petroleum,[名]石油
petty,[形]些細な
phenomenal,[形]驚異的な
phonetic,[形]音声の
photocopy,[動]コピーする
pickle,[名]漬物，ピクルス
pickup,[形]間に合わせの
piety,[名]信心、敬愛
pinnacle,[名]頂上
pinpoint,[形]正確な
placard,[名]プラカード
placid,[形]穏やかで落ち着いた
plaque,[名]飾り額、記念額
plateau,[名]高原
platonic,[形]精神的な
playwright,[名]脚本家
plume,[名]羽
plummet,[動]まっすぐに落ちる.
ply,[動]浴びせる
pointless,[形]要領を得ない
poke,[動]突く
polished,[形]洗練された
pollutant,[名]汚染物質
ponder,[動]熟考する
populous,[形]人口の多い
porridge,[名]ポリッジ、米がゆ
posterity,[名]後世、子孫
potent,[名]有力な
poultry,[名]家禽
prank,[名]いたずら
precarious,[形]不安定な
precedent,[名]判例、先例
predicate,[動]断定する
predominant,[形]優勢な
premature,[形]早産の
preoccupation,[名]偏見、没頭
preparatory,[形]予備の
pretext,[名]言い訳
preview,[名]予告、下見
prewar,[形]戦前の
principally,[副]第一に
privileged,[形]光栄で
programmer,[名]プログラマー
prohibition,[名]禁止
prone,[形]傾向がある
propeller,[名]推進物、推進器
protocol,[名]条約議定書
prototype,[名]見本
providence,[名]摂理
pry,[動]詮索する
psychiatrist,[名]精神科医
psychiatry,[名]精神医学
psychic,[形]霊魂の
publicize,[動]公表する、宣伝する
puddle,[名]水たまり
pulp,[名]果肉
punctuate,[動]句読点を付ける、中断する
punctuation,[名]句読点、句読法
purge,[動]一掃する 
purify,[動]浄化する
puzzling,[形]当惑させる
quartz,[名]水晶
racism,[名]人種差別
racist,[名]人種差別主義者
radiant,[形]明るい光を放つ
radioactive,[形]放射性の
radius,[名]半径
ramp,[名]傾斜路
rascal,[名]ならず者
ravage,[名]略奪、荒廃
readable,[形]読みやすい
rearrange,[動]再び配列する
rebuke,[動]非難する 
recapture,[動]再び捕らえる
receivable,[形]受け取るべき
receptor,[名]感覚器官、受容体
reciprocal,[形]相互の
recreational,[形]レクリエーションの
rectangle,[名]長方形
rectangular,[形]長方形の
rectify,[動]修正する
recur,[動]繰り返される
recurrence,[名]再発
redden,[動]赤くなる
redeem,[動]弁済する
redemption,[名]償還
rediscover,[動]再発見する
redundancy,[名]余分なこと
reef,[名]礁
reenter,[動]再び入る
reestablish,[動]再建する
refund,[動]払い戻す
regiment,[名]連隊
rehearse,[動]下稽古をする
reindeer,[名]トナカイ
reluctantly,[副]いやいやながら
reminder,[名]思い出させるもの
reminiscence,[名]回想
remnant,[名]残物
renewable,[形]再生可能な
renounce,[動]放棄する
renown,[名]名声
renowned,[形]有名な
repentance,[名]後悔、悔い改め
replica,[名]写し、複製
repress,[動]抑える、抑圧する
repression,[名]弾圧
repressive,[形]抑圧的な
reproductive,[形]生殖の、再生の
repute,[名]評判、好評
reservoir,[名]貯水池
residue,[名]残留物
resourceful,[形]機知に富んだ
respectfully,[副]敬意を表して
respondent,[名]回答者
retention,[名]保持
retrace,[動]回想する
retrieve,[動]取り戻す
retrospect,[名]回顧
retrospective,[形]回顧の
reunion,[名]同窓会、親睦会
reversal,[名]反転、逆転
revolver,[名]回転式ピストル
rig,[動]装備する
righteous,[形]道義的に正しい
rigorous,[形]厳格な
rink,[名]スケートリンク
roadside,[名]道端
robin,[名]ヨーロッパコマドリ
robust,[形]たくましい
rocker,[名]揺りいす、ロック歌手
rogue,[名]ごろつき、悪党
runaway,[形]逃亡した
rustic,[形]いなかの
ruthless,[形]無慈悲な
sage,[名]賢人，哲人
salvation,[名]救済
sampling,[名]試食
sanction,[名]制裁
sanctuary,[名]神聖な場所
sap,[名]樹液
sarcasm,[名]皮肉
sardine,[名]イワシ
scholarly,[形]学問的な
scripture,[名]聖書
scrutiny,[名]詳細な調査
secular,[形]世俗の
seduce,[動]誘惑する
seeming,[形]うわべの
segregate,[動]分離する
segregation,[名]隔離、人種隔離
seizure,[名]捕らえること、発作
semiconductor,[名]半導体
sensory,[形]感覚の
separable,[形]分離できる
sequel,[名]続編
setback,[名]後退、挫折
severity,[名]厳しさ
sewer,[名]下水道
shaped,[形]形の
sherbet,[名]シャーベット
sheriff,[名]保安官
shipbuilding,[名]造船
shoelace,[名]靴紐
shoplift,[動]万引きする
shopper,[名]買い物客
showroom,[名]ショールーム
showy,[形]目立つ、派手な
shun,[動]避ける
sibling,[名]兄弟姉妹
sickly,[形]吐き気を催すような
siege,[名]包囲攻撃、包囲
sift,[動]ふるいにかける
signing,[名]しるし、標識
signpost,[名]道しるべ
silhouette,[名]輪郭
silicon,[名]珪素
silvery,[形]銀の、銀白色の
simulation,[名]模擬実験
sinister,[形]不吉な、邪悪な
sinner,[名]罪人
skeptical,[形]疑い深い
skepticism,[名]懐疑的な考え
slab,[名]四角く幅の広い厚板
slack,[形]ゆるんだ
sled,[名]そり
sliding,[形]滑る
sling,[名]つり縄、三角布
smelt,[動]融解して精錬する
snob,[名]お高くとまった人
snowball,[名]雪玉
snub,[動]冷たく扱う
snug,[形]居心地のよい
soaked,[形]びしょぬれで
socioeconomic,[形]社会経済的な
sociological,[形]社会学的な
solicit,[動]強く求める
solicitor,[名]懇願者、勧誘人
sonata,[名]ソナタ
southeastern,[形]南東の、南東への
southwestern,[形]南西部の
sovereignty,[名]主権、統治権
soybean,[名]大豆
spank,[動]お尻をたたく
specialized,[副]専門の
specification,[名]仕様、明細事項
speck,[名]小さい点
spectrum,[名]スペクトル、範囲
speculative,[形]推論的な，投機的な
speechless,[形]口のきけない、無言の
spinner,[名]紡ぎ手
spinning,[名]紡績
spiral,[形]らせん形の
splinter,[名]とげ、破片
spokesperson,[名]代弁者，スポークスマン
spontaneity,[名]自発性
spreadsheet,[名]集計表
squad,[名]部隊、チーム
squarely,[副]真正面に
squeak,[動]チューチュー鳴く
stairway,[名]階段
starch,[名]でんぷん
steamboat,[名]蒸気船
steeple,[名]教会などの尖塔
stepfather,[名]継父
stepmother,[名]継母
stereotype,[名]固定観念、決まり文句
stifle,[動]窒息させる
stimulant,[名]興奮剤
stink,[動]悪臭を放つ
stirring,[形]感動させる
stun,[動]唖然とする
sturdy,[名]頑丈な
subcommittee,[名]小委員会
subdued,[形]控えめな
subgroup,[名]下位グループ
submissive,[形]従順な
subscribe,[動]定期購読する
subscriber,[名]予約者、購読者
subtlety,[名]微妙
suggestive,[形]暗示に富む
suicidal,[形]自殺的な、自滅的な
suite,[名]ひと揃い
sunken,[形]水没した
superintendent,[名]監督者、支配人
supersonic,[形]超音速の
superstar,[名]スーパースター
supplementary,[形]補足の
supremacy,[名]主権、優位
surge,[名]急上昇
surgical,[形]外科の
surmise,[動]推測する
sustainable,[形]持続可能な
swap,[動]交換する
swollen,[形]ふくれた、誇張した
swoop,[動]急降下する
syllabus,[名]授業予定表
syndrome,[名]症候群
synonym,[名]同意語
synthesize,[動]総合する、合成する
synthetic,[形]合成の
tabloid,[名]タブロイド新聞
taboo,[名]タブー、禁制
tact,[名]機転
tactics,[名]方策、戦術
taint,[名]汚れ
takeoff,[名]離陸
tangible,[形]触れて感知できる
taper,[名]先細り、逓減
tart,[名]タルト
tasteless,[形]味のない、無味乾燥な
tattoo,[名]入れ墨
temperance,[名]節制
temporal,[形]現世の
tentative,[形]仮の
terminate,[動]終わらせる
thereby,[副]それによって
thermal,[形]熱の，温度の
thermostat,[名]温度自動調節器
thong,[名]革ひも
thou,[名]なんじは，そなたは 
throng,[動]群がる，殺到する
thrush,[名]ツグミ
thump,[動]ゴツンと打つ
thunderous,[形]雷を発する
toothpick,[名]つまようじ
torrent,[名]豪雨
townspeople,[名]都会人
transcribe,[動]書き写す
transfusion,[名]注入、輸血
transit,[名]交通、通過
transitional,[形]過渡的な
transmitter,[名]送信機、送話器
treble,[形]3 倍の
tribunal,[名]裁判所
trickle,[動]したたる
trillion,[名]一兆
trolley,[名]路面電車
trump,[名]切り札
tuition,[名]学費、授業料
tumor,[名]ふくらみ、腫瘍
tumult,[名]騒動
turbulent,[形]荒れ狂う、乱れている
turf,[名]芝地
tutorial,[形]家庭教師の
twitch,[動]ぐいと引く
tyrannical,[形]専制君主的な
unavailable,[形]利用できない
unbutton,[動]ボタンを外す
unconcerned,[形]心配しない
unconventional,[形]慣例に従わない
undeniable,[形]否定しがたい
undermine,[動]いつのまにか害する
undone,[形]もとどおりにする
unidentified,[形]身元不明の、未確認の
unification,[名]統合、統一
unintentional,[形]意図的でない
uninterrupted,[形]連続した、一体となった
unleash,[動]解き放す
unloved,[形]愛されていない
unnoticed,[形]人目につかない
unpack,[動]荷を解く
unprecedented,[形]先例のない
unprepared,[形]準備のできていない
unrest,[名]不安
unsettle,[動]不安にする
unsold,[形]売れ残りの
unveil,[動]明らかにする
unwelcome,[形]歓迎されない
upland,[名]高地
uranium,[名]ウラン
utopia,[名]理想郷
utopian,[形]理想郷の
vaccine,[名]ワクチン
validate,[動]有効にする
validity,[名]妥当性
valuation,[名]評価、評価額
variously,[副]様々な
vegetation,[名]植生、草木
vendor,[名]売主
verdict,[名]（陪審員の）評決
verge,[名]端、境界
verify,[動]実証する
villain,[名]悪者、悪役
visualize,[動]視覚化する
vocational,[形]職業上の
vogue,[名]流行
void,[名]空虚感
wail,[動]泣き叫ぶ
waistcoat,[名]チョッキ
wanting,[形]欠乏している
warranty,[名]保証
watertight,[形]防水の、耐水の
watery,[形]水を含んだ
watt,[名]ワット
whatsoever,[形]どんなものであれ
whereby,[副]それによって
widower,[名]男やもめ
willingness,[名]快くすること
wiring,[名]配線
woe,[名]悲哀、災難
woodwork,[名]木工品
wording,[名]言葉づかい
workable,[形]実行できる、有効な
ye,[名]汝ら
yearning,[名]あこがれ、熱望
yeast,[名]酵母
yielding,[形]曲がりやすい
yoke,[名]くびき
yolk,[名]卵の黄身
