abortion,[名]妊娠中絶
conversational,[形]会話の
convict,[動]有罪と宣告する
convincing,[形]説得力のある
coolness,[名]涼しさ
cooperate,[動]協力する
cooperative,[形]協力的な
coordinate,[名]座標
cork,[名]コルク
correction,[名]訂正、校正
correspond,[動]一致する
correspondent,[名]特派員
corrupt,[動]堕落させる
corruption,[名]汚職、腐敗
cosmetic,[形]化粧用の
costly,[形]費用のかかる
couch,[名]ソファー
councilor,[名]顧問官，評議員
counsel,[名]相談、協議
counseling,[名]カウンセリング
counselor,[名]カウンセラー
counterpart,[名]対照物、相手
countless,[形]数え切れない
courtesy,[名]礼儀、親切さ
coverage,[名]報道
cowardly,[形]臆病な、卑劣な
cozy,[形]居心地のよい
cracker,[名]クラッカー
craftsman,[名]職人、熟練工
crane,[名]ツル
creator,[名]創造者
crisp,[形]食物がパリパリする
crook,[名]心が曲がった人、いかさま師
crouch,[動]かがむ，しゃがむ
cruise,[名]クルーズ、巡航
cuckoo,[名]カッコウ
cue,[名]合図、手がかり
cupful,[名]カップ１杯
curiously,[副]奇妙に
curriculum,[名]履修課程
curse,[動]呪う
cycling,[名]サイクリング
cyclist,[名]自転車に乗る人
dart,[名]ダーツ
database,[名]データベース
daybreak,[名]夜明け
deceit,[名]偽り
decent,[形]上品な
deception,[名]欺くこと
dedicate,[動]捧げる
dedicated,[形]献身的な
deepen,[動]深くする
defendant,[名]被告人
defender,[名]防御者
defensive,[形] 防御的な
deficit,[名]赤字
defy,[動]反抗する
deliberate,[形]慎重に
deliberately,[副]わざと
delicately,[形]繊細に
demerit,[名]欠点
demonstrator,[名]デモ参加者
denial,[名]否定
dental,[形]歯の
dependence,[名]依存
depress,[動]落ち込ませる
depressed,[形]消沈した
depressing,[形]気がめいるような
deputy,[名]代理人
descendant,[名]子孫
descent,[名]降下
deserted,[形]人の住まない
devise,[動]考案する
devoted,[形]献身的な
dew,[名]露
diagram,[名]図表
dialogue,[名]対話
digestion,[名]消化
dime,[名]10 セント貨
dimension,[名]寸法
diminish,[動]減少する
diplomat,[名]外交官
disagreement,[名]不一致
disappointing,[形]がっかりさせる
disapproval,[名]不賛成
disapprove,[動]不賛成である
disclose,[動]公開する
discrimination,[名]差別、識別
dishonest,[形]不正直な
dishonestly,[副]不正直に
displease,[動]不快にする
dissatisfy,[動]不満をいだかせる
distinctive,[形]特徴的な
distrust,[名]不信
disturbance,[名]妨害
disturbed,[形]不安な
disturbing,[形]不穏にする
ditch,[名]溝、排水溝
diverse,[形]多様な
diversity,[名]多様性
divine,[形]神の
dizzy,[形]めまいがする
documentary,[名]ドキュメンタリー
donation,[名]寄贈、寄付
dreadful,[形]非常に恐ろしい
driveway,[名]私道
dropout,[名]中途退学者
drunken,[形]酒に酔った
duke,[名]公爵
dullness,[名]鈍感
dump,[動]投げ捨てる
dwarf,[名]小人
dwelling,[名]住居
earnestly,[副]本気で
economically,[副]経済的に
economics,[名]経済学
eggplant,[名]ナス
ego,[名]自我
elaborate,[動]念入りに作る
electron,[名]電子
eliminate,[動]除去する
embarrassed,[形]当惑した
embarrassment,[名]困惑
encouragement,[名]激励
endeavor,[名]試み、努力
endurance,[名]忍耐
energetic,[形]精力的な
enormously,[副]ばく大に
entertaining,[形]面白い
envious,[形]ねたむ
equation,[名]方程式
equip,[動]装備する
equivalent,[形]同等の
eternally,[副]永遠に
ethical,[形]倫理の
ethics,[名]倫理学
everlasting,[形] 永久に続く
evolve,[動]進化する
exaggeration,[名]誇張
examiner,[名]検査官
exceedingly,[副]非常に
excellence,[名]優れていること
exceptional,[形]並外れた
exclusive,[形]排他的な
exclusively,[副]独占的に
excursion,[名]遠足
execute,[動]実行する
exhaustion,[名]消耗
exploit,[動]搾取する
explosive,[形]爆発の
exporter,[名]輸出業者
extract,[動]抜く
fable,[名]寓話、作り話
facsimile,[名]ファクシミリ，ファックス
faculty,[名]学部
fake,[形]偽の
familiarity,[名]よく知っていること
faraway,[形]遠方の
farmland,[名]農地
fascinate,[動]魅了する
fatigue,[名]疲労（感）
fearless,[形]恐れない
federation,[名]連盟
feeble,[形]弱い
feminist,[名]男女同権主義者
financially,[副]財政的に
fireproof,[動]耐火性にする
firework,[名]花火
fitness,[名]健康
flatten,[動]平らにする
fleet,[名]艦隊
flexibility,[名]適応性
fling,[動]投げ飛ばす
fluid,[形]流動性の
flutter,[動]はためく
folding,[形]折りたたみの
folly,[名]愚行
forgiveness,[名]許すこと
formality,[名]形式的行為
formula,[名]公式、式
fortnight,[名]二週間
fossil,[名]化石
foster,[動]養育する
foul,[名]反則
fowl,[名]鳥類
fraction,[名]一部、断片
fragment,[名]破片、断片
framework,[名]枠組み
freshly,[副]新しく
frustrate,[動]挫折させる
fuck,[動]性交する
fucking,[形]ひどい
fulfillment,[名]実現
funding,[名]資金
furthermore,[副]その上に
fuss,[名]空騒ぎ、大騒ぎ
fuzzy,[形]綿毛状の
gallon,[名]ガロン
gasp,[動]はっと息をのむ
gateway,[名]出入り口、通路
gathering,[名]集まり
gem,[名]宝石
gene,[名]遺伝子
generate,[動]発生させる
generosity,[名]寛大
genetic,[形]遺伝子の
geometry,[名]幾何学
glide,[動]すべるように動く
glider,[名]グライダー
glimpse,[名]ちらっと見ること
glitter,[動]きらきら輝く
gorgeous,[形]華麗な
grammatical,[形]文法の
gratitude,[名]感謝
gravity,[名]重力
graze,[動]草を食う
grill,[名]焼き肉[魚]
grouping,[名]グループにすること
grove,[名]木立ち
grower,[名]栽培者
guarded,[形]慎重な
gunman,[名]銃で武装した男
habitual,[形]常習の
hail,[名]ひょう
hallway,[名]玄関、廊下
handicap,[名]不利な条件
handicapped,[形]障害のある
harden,[動]硬化させる 
hardship,[名]苦難
hardy,[形]苦難に耐えられる
hateful,[形]憎むべき
haunt,[動]出没する
headlight,[名]ヘッドライト
headmaster,[名]校長
hence,[副]それゆえに
herb,[名]薬草
heritage,[名]遺産、伝統
hesitation,[名]ためらい
highland,[名]高地地方
hilly,[形]丘の多い
holder,[名]支える物
holiness,[名]神聖なこと、聖下
hospitality,[名]親切なもてなし
hostile,[形]敵対する
hostility,[名]敵意、反抗
hum,[動]ブンブンいう
hymn,[名]賛美歌
idealize,[動]理想化する
identification,[名]身分証明書
ideology,[名]観念
idiom,[名]慣用句
idleness,[名]怠惰
immature,[名]未成熟な者
immortal,[名]不滅の、不滅の
impatience,[名]短気
impolite,[形]失礼な
importantly,[副]重大に
impossibility,[名]不可能
imprison,[動]投獄する
inadequate,[形]不適切な、不十分な
incapable,[形]無能な
inclination,[名]傾向
incorrect,[形] 不正確な
indication,[名]表示、しるし
indifference,[名]無関心
indifferent,[形]無関心な
individually,[副]個々に
inevitably,[副]必然的に
inexpensive,[形]安い
infect,[動]感染させる
infectious,[形]伝染性の
infinite,[形]無限の
inflict,[動]（苦痛を）加える
informed,[形]知識のある
ingredient,[名]原料、材料
inheritance,[名]相続
initiate,[動]始める
initiative,[名]率先、独創力
innovation,[名]革新、刷新
inquiry,[名]問い合わせ
insert,[動]挿入する 
insight,[名]洞察、洞察力
insistence,[名]主張
insistent,[形]執ような
inspection,[名]検査
inspiring,[形]奮い立たせる
institutional,[形]制度の、慣習の
instructive,[形]ためになる
instrumental,[形]役立つ
insufficient,[形]不十分な
intellect,[名]知性
intended,[形]意図された
intensity,[名]強度
intermediate,[形]中間の
interpretation,[名]解釈、通訳
interruption,[名]中断
intervention,[名]介入
intimate,[形]親密な
involvement,[名]かかわり合い
irregular,[形]不規則な
irresponsible,[形]無責任な
irritate,[動]いらいらさせる
irritating,[動]頭に来る
irritation,[名]いらだち
Islam,[名]イスラム教
isle,[名]島
isolate,[動]孤立させる、
isolation,[名]孤立、分離
jerk,[動]急にぐいと引くこと
jolly,[形]陽気な
juicy,[形]水分の多い
junk,[名]がらくた
jury,[名]陪審員
justification,[名]正当化
kit,[名]道具一式
lacking,[形]欠けている
lad,[名]少年
lasting,[形]長続きする
leak,[動]漏れる
lest,[接]…しないように
lever,[名]てこ、レバー
librarian,[名]司書
liking,[名]好み
liner,[名]定期船
lining,[名]裏地
lodging,[名]宿、宿泊
lone,[形]孤立した
loosen,[動]緩める、解く
loser,[名]敗者
loudspeaker,[名]拡声器
lumber,[名]材木、木材
magnetic,[形]磁石の
maiden,[形]処女の，未婚の
mainland,[名]本土
mammal,[名]哺乳類
manhood,[名]青壮年
manly,[形]男らしい
manuscript,[名]原稿
marketplace,[名]市場
marvel,[名]驚異
massage,[名]マッサージ
masterpiece,[名]傑作
mathematician,[名]数学者
mellow,[形]熟している 
melting,[名]溶けている
memorize,[動]記憶する
metallic,[形]金属の
metaphor,[名]隠喩
microscope,[名]顕微鏡
midst,[名]中央
mildly,[副]穏やかに
milky,[形]乳のような、
mingle,[動]入り混じる
mini,[名]ミニスカート
miniature,[名]小型模型
mining,[名]鉱山業
mislead,[動]誤解を招く
mister,[名]…さん 
misunderstanding,[名]誤解
mock,[名]あざけること
moderately,[副]適度に
moderation,[名]適度
modestly,[副]適度に
modesty,[名]謙遜
mold,[名]型
molecule,[名]分子
momentary,[形]つかの間の
monetary,[形]通貨の
monopoly,[名]独占
morality,[名]道徳
mortal,[形]死ぬべき運命の
motivate,[動]やる気にさせる
motorcar,[名]自動車
motorway,[名]高速道路
mouthful,[名]一口
multimedia,[名]マルチメディア
multitude,[名]多数
murderer,[名]殺人者
Muslim,[名]イスラム教徒
mutter,[動]つぶやく
mutton,[名]羊肉
narration,[名]話法
narrative,[形]話術の
nationalist,[名]国家主義者
naughty,[形]品行が悪い
naval,[形]海軍の
navigation,[名]航海
neatly,[副]きちんと
needy,[形]困窮している
neighboring,[形]隣接した、近隣の
newcomer,[名]新入り
newscaster,[名]ニュースキャスター
newsletter,[名]会報、社報
nightclub,[名]ナイトクラブ
nobility,[名]気高さ
nobleman,[名]貴族
noiseless,[形]音のしない
noisily,[副]騒がしく
nomination,[名]指名、推薦
nonetheless,[副]それでもなお
noodle,[名]めん類
nuisance,[名]厄介な人・物事
nun,[名]修道女
nutrition,[名]栄養
oat,[名]ムギ
objection,[名]反対、異議
obscure,[形]はっきりしない
obstacle,[名]障害、障害物
octopus,[名]タコ
odor,[名]悪臭
offender,[名]犯罪者、違反者
offshore,[形]海外の
offspring,[名]子、子孫
opener,[名]開く人、開始者
optional,[形]選択できる
orbit,[名]軌道
orchard,[名]果樹園、果樹
orient,[動]方向づける
originality,[名]独創力
ornamental,[形]飾りの
orphan,[名]孤児
orthodox,[形]正統派の
outbreak,[名]勃発、突発
outsider,[名]部外者
outskirt,[名]郊外、周辺
oval,[名]卵形、卵形のもの
overthrow,[動]転覆する
overtime,[名]時間外労働
overweight,[形]重量超過の
overwhelm,[動]圧倒する、打ちのめす
overwork,[名]働きすぎ、過労
owing,[形]支払うべき
ownership,[名]所有、所有者
pant,[動]あえぐ
paradox,[名]逆説
parliamentary,[形]議会の
parlor,[名]店
partially,[副]部分的に
participant,[名]参加者
participation,[名]参加
pastry,[名]焼き菓子
patent,[名]特許
paw,[名]足
peacefully,[副]穏やかに
peacock,[名]クジャク
peck,[動]くちばしでつつく
peculiarity,[名]特色，特性
peculiarly,[副]奇妙に，異様に
pedal,[名]ペダル，踏み板
peep,[動]のぞき見する
penetrate,[動]突き刺さる
penetration,[名]貫通，洞察
penniless,[形]金のない
pension,[名]年金
perch,[動]鳥が木にとまる
perfection,[名]完全
peril,[名]（差し迫った）危険
persist,[動]続く、やり通す
persistent,[形]固執する、頑固な
personnel,[名]人材、人員
perspective,[名]展望、観点
photographic,[形]写真の
physicist,[名]物理学者
pillar,[名]柱
pint,[名]パイント
plague,[名]伝染病
planetarium,[名]プラネタリウム
plantation,[名]大農園
pledge,[動]誓約する
plentiful,[形]豊富な
plug,[動]栓をする
poetic,[形]詩的な
popularly,[副]人気のある
positively,[副]積極的に
postage,[名]郵便料金
precaution,[名]用心，警戒
prediction,[名]予想
pregnancy,[名]妊娠
pregnant,[形]妊娠している
preliminary,[形]予備的な
premise,[名]前提
preschool,[形]就学前の
preservation,[名]保存、保護、維持
pretense,[名]見せかけ
prey,[名]餌食
priceless,[形]非常に貴重な
prick,[動]刺す
probability,[名]確率
probe,[名]調査
proceeding,[名]成り行き
proficient,[形]熟練した
profound,[形]心からの
prominence,[名]顕著
promoter,[名]発起人
proposition,[名]提案
protector,[名]保護者、後援者
Protestant,[名]プロテスタント
provided,[接]…との条件で
providing,[接]…との条件で
provoke,[動]刺激する
puff,[名]プッと吹くこと
puppet,[名]傀儡（かいらい）
purity,[名]純粋、清潔
qualification,[名]資格
quest,[名]探求
queue,[名]列
quietness,[名]静けさ
rack,[名]棚、ラック
radar,[名]レーダー
radish,[名]ダイコン
ragged,[形]ぼろぼろの
rainfall,[名]降雨
rally,[動]結集する
ram,[名]雄羊
rape,[名]強姦
ratio,[名]比率
realm,[名]領域
reap,[動]実る、収穫する
reasoning,[名]推理、論法
reassure,[動]安心させる
rebellion,[名]反乱
rebuild,[動]再建する
receptionist,[名]受付係
reckless,[形]無謀な
recreation,[名]レクリエーション
reel,[名]リール
reflective,[形]反映する
refreshing,[形]心身をさわやかにする
refreshment,[名]飲食物
regain,[動]回復する
registration,[名]登録
regularity,[名]規則正しさ
rehearsal,[名]リハーサル
reign,[動]君臨する 
rejection,[名]拒絶
relaxing,[形]リラックスさせる
relevant,[形]関連した
reliable,[形]信頼できる
remainder,[名]残り、余り
remembrance,[名]思い出
render,[動]変える、する
reopen,[動]再開する
repeatedly,[副]繰り返して
repetition,[名]繰り返すこと
replay,[名]再演奏
repose,[動]休息する
representation,[名]代表、代理
reproduction,[名]生殖
resemblance,[名]類似、類似点
resent,[動]腹を立てる
resentment,[名]憤慨、恨み
reside,[動]居住する
residential,[形]居住の
respectful,[形]敬意を表する
restless,[形]落ち着かない、不安な
restoration,[名]修復、回復
restructure,[動]再構築する
retail,[名]小売り、小売店
revenue,[名]収益、収入
revise,[動]訂正する
revolt,[名]反乱、反抗
revolve,[動]回転する
rhythmic,[形]リズミカルな
riddle,[名]なぞなぞ
ridge,[名]山の尾根
rigid,[形]硬直した、固い
rip,[動]切り裂く
ritual,[名]儀式、儀式的行事
roam,[動]歩き回る
rubbish,[名]ごみ
rust,[名]錆び
salaried,[形]給料を受け取る
salon,[名]大広間、しゃれた店
salute,[動]敬礼する
Satan,[名]悪魔
savage,[名]未開人
scenario,[名]筋書き、シナリオ
schooling,[名]学校教育
scooter,[名]スクーター
scope,[名]範囲、領域
scorn,[名]嘲笑、軽蔑される人
scramble,[動]先を争う
scrape,[動]こすりとる
script,[名]文字、手書き
seaport,[名]港
searchlight,[名]探照灯
seaweed,[名]海藻
secondhand,[形]中古の
sect,[名]分派、宗派、派閥
seminar,[名]セミナー、ゼミ
senator,[名]上院議員
sender,[名]発送人
sensitivity,[名]感性、感受性
sequence,[名]順序、連続
sewing,[名]裁縫、縫い物
shady,[形]日陰になった
shameful,[形]恥ずべき
shark,[名]サメ
sharpen,[動]鋭くする
sharpness,[名]鋭さ
shatter,[動]粉砕する
sheer,[形]全くの、完全な
Shinto,[名]神道
shit,[名]くそ，大便
shiver,[動]寒さで震える
shrine,[名]聖地、殿堂
shutter,[名]雨戸
sideways,[副]横に
signify,[動]示す、表す
simplicity,[名]質素
simultaneously,[副]同時に
sincerity,[名]誠実
skyscraper,[名]超高層ビル
slam,[動]バタンと閉める
slavery,[名]奴隷制度
sleepless,[形]眠れない
slogan,[名]スローガン
smoky,[形]煙る、煙のような
snowstorm,[名]吹雪
snowy,[形]雪の降る
soak,[動]浸す
soapy,[形]石けんのような
sober,[動]酔いをさます
socialist,[名]社会主義者
sociology,[名]社会学
solar,[形]太陽の
solemnly,[副]厳粛に
solitary,[形]ひとりの
sophisticated,[形]洗練された
spacecraft,[名]宇宙船
spaceship,[名]宇宙船
span,[名]期間、全長
specify,[動]明記する、指定する
spectacular,[名]見世物
speculation,[名]推測、投機、考察
spicy,[形]辛い
spinach,[名]ホウレンソウ
spit,[動]唾をはく
sporty,[形]スポーツマンらしい
springtime,[名]春
stability,[名]安定、安定性
stack,[名]山積みのもの
stagger,[動]ふらつく
staircase,[名]階段
stale,[形]新鮮でない
stalk,[名]茎
standpoint,[名]観点
startling,[形]驚くような
starvation,[名]飢餓
statistics,[名]統計
steamship,[名]汽船
stillness,[名]静けさ、平静
stimulus,[名]刺激
stony,[形]石のような
stool,[名]いす、足台
stoop,[動]かがむ
storage,[名]保管
storyteller,[名]物語作家
storytelling,[形]物語を話す
straighten,[動]まっすぐにする
strait,[名]海峡
stray,[動]迷う
strife,[名]争い、競争
structural,[形]構造の
stump,[名]切り株
stupidity,[名]愚かさ
subtle,[形]繊細な、微妙な
succession,[名]連続
successive,[形]連続的な
successor,[名]後継者
sufficiency,[名]十分なこと
summary,[名]概要、一覧
supervision,[名]監督；管理
supplement,[動]補う
suppress,[動]鎮圧する、抑圧する
surf,[動]波乗り遊びをする
surname,[名]姓
suspense,[名]はらはらすること
swamp,[名]沼地
sway,[動]揺らす
sweetheart,[名]愛人
sweetly,[副]甘く
sweetness,[名]優しさ
swimsuit,[名]水着
syllable,[名]音節
symbolic,[形]象徴的な
sympathize,[動]同情する
symptom,[名]症状
systematic,[形]組織的な
tablet,[名]錠剤
tackle,[動]取り組む
tag,[名]札
tasty,[形]美味しい
taxation,[名]課税
taxpayer,[名]納税者
teamwork,[名]チームワーク
teaspoon,[名]茶さじ一杯
teaspoonful,[名]茶さじ一杯の量
technician,[名]技術者、技巧家
telegraph,[名]電報
tempo,[名]テンポ
tenant,[名]賃借人、住人
tenderness,[名]優しさ
terminal,[形]末端の
terrace,[名]テラス
terrify,[動]ひどく怖がらせる
thankful,[形]感謝している
thankfully,[副]有り難いことに
theatrical,[形]演劇的な
theft,[名]盗み
therapy,[名]療法
thickness,[名]厚さ
thrust,[動]押す
tick,[動]カチッと音を立てる
timid,[形]臆病な
tiring,[形]疲れる
topical,[形]時事問題の
torment,[名]苦痛
tortoise,[名]カメ
torture,[名]拷問、苦悩
tourism,[名]観光業
transaction,[名]業務，取引
transformation,[名]変化
translator,[名]翻訳家
transmission,[名]伝達
transmit,[動]送信する
transparent,[名]透明
trash,[名]ごみ
treasury,[名]財務
tremble,[動]震える
tremendous,[形]とても大きい
triangular,[形]三角形の
trivial,[形]取るに足らない
trophy,[名]トロフィー、優勝旗
troublesome,[形]厄介な、煩わしい
trusting,[形]信じている
trustworthy,[形]信頼できる
truthful,[形]誠実な
tuck,[動]押し込む
tuna,[名]マグロ
ultimately,[副]最終的に
umpire,[名]判定者、審判
unarmed,[形]武器を持たない
unavoidable,[形]避けがたい
unbearable,[形]耐えられない
unconscious,[形]意識を失った
undo,[動]取り消す
undoubted,[形]疑う余地のない
undress,[動]衣類をとる
uneasy,[形]不安な、心配な
unemployed,[形]失業の
unfold,[動]広げる
unhappiness,[名]不幸
universally,[副]普遍的に
unlimited,[形]無限の
unlock,[動]（錠・鍵を）開ける
unmarried,[形]独身の
unmistakable,[形]間違えようのない
unnatural,[形]不自然な
unpaid,[形]未払いの
unreasonable,[形]筋の通らない
unsatisfactory,[形]不満足な
unseen,[形]初見の
unselfish,[形]利己的でない
unsteady,[形]不安定な
unsuccessful,[形]失敗した、不運の
unsuitable,[形]不適当な
untidy,[動]散らかす
unwise,[形]愚かな
unworthy,[形]価値のない
usefulness,[名]有用性
utility,[名]有益
utilize,[動]利用する、活用する
utmost,[形]最高の
vacant,[形]空の
valid,[形]合法的な、有効な
valueless,[形]無価値な
vanity,[名]虚栄心、空虚
varied,[形]さまざまの
velvet,[名]ビロード
vicious,[形]凶悪な
viewer,[名]視聴者
vigorous,[形]精力的な
villa,[名]別荘
violation,[名]違反
virgin,[名]処女
virtual,[形]実質上の
virus,[名]ウイルス
vitality,[名]活力
vocal,[形]口頭の
voltage,[名]電圧
voluntary,[形]自発的な
voter,[名]投票者、有権者
vowel,[名]母音
walnut,[名]クルミ
warrant,[名]令状
wasteful,[形]無駄な
watchdog,[名]番犬
watchful,[形]用心深い
watchman,[名]警備員、
watercolor,[名]水彩画
waterfall,[名]滝
waterproof,[形]防水の
weakly,[形]弱い
whereas,[接]…であるのに
whirl,[動]渦巻く
whiteness,[名]純粋、純白
widen,[動]広くする、広げる
withdrawal,[名]撤退
woolen,[形]羊毛の
workman,[名]工員、肉体労働者
worldly,[形]この世の
worship,[動]崇拝する
worthless,[形]価値のない
worthwhile,[形]価値がある
wrinkle,[名]しわ
wrongly,[副]不法に
abandonment,[名]放棄
abbreviation,[名]略語
abnormal,[形]異常な
abolition,[名]廃止
abusive,[形]口汚い
accompaniment,[名]伴うもの
accordance,[名]一致
adaptation,[名]適合、順応
administer,[動]運営する
admiral,[名]海軍大将、提督
adoption,[名]採用
adore,[動]大好きである
adorn,[動]装飾する
advancement,[名]昇進
advantageous,[形]有利な
advisory,[形]助言を与える
affectionate,[形]愛情のこもった
affirm,[動]断言する
agenda,[名]議事日程
aggression,[名]侵略
aide,[名]補佐官
aimless,[形]目的のない
airway,[名]航空会社
alarming,[形]大変な
alcoholism,[名]アルコール中毒
algebra,[名]代数学
allege,[動]主張する
allied,[形]同盟している
altar,[名]祭壇
alteration,[名]変更
alternate,[形]交互の
altitude,[名]高度、海抜
amazed,[形]驚嘆した
amazement,[名]驚き
amen,[名]アーメン
amend,[動]改正する
amendment,[名]修正
ancestry,[名]祖先
annoyance,[名]不快感
anonymous,[形]匿名の
antarctic,[形]南極の
anthropology,[名]人類学
appendix,[名]付録
appetizer,[名]前菜
appetizing,[形]食欲をそそる
appliance,[名]電化製品
applicable,[形]適用できる
applicant,[名]応募者
apprehension,[名]懸念
apprentice,[名]見習い、初心者
approximate,[形]おおよその
archaeology,[名]考古学
arctic,[形]北極の
armored,[形]装甲した
arouse,[動]目を覚まさせる
arrogant,[形]傲慢な
ashore,[副]浜に、岸に
assertion,[名]主張
atmospheric,[形]大気の
attachment,[名]付着物
attorney,[名]弁護士
auction,[名]競売
audition,[名]オーディション
auditorium,[名]講堂
autobiography,[名]自叙伝
avail,[動]利用する
avoidance,[名]回避
axis,[名]軸
bachelor,[名]独身男性
backing,[名]支持
bait,[名]えさ
ballot,[名]投票用紙、投票
bandage,[名]包帯、目隠しの布
bankruptcy,[名]倒産、破綻
barbarian,[名]野蛮人、未開人
barefoot,[形]裸足の
barley,[名]大麦
barrack,[名]兵舎
barricade,[動]バリケードを築く
bedding,[名]寝具
behold,[動]眺める
bellybutton,[名]へそ
bestow,[動]授ける
beverage,[名]飲み物
beware,[動]用心する
bias,[名]偏見
bid,[名]入札、付値
bimonthly,[名]隔月刊行物
binding,[名]縛ること、束縛
birthplace,[名]出生地
blink,[名]まばたき
bliss,[名]至福、天国
blunt,[形]鈍い
boastful,[形]自慢して 
bosom,[名]胸
botanical,[形]植物の
bough,[名]大枝
bouquet,[名]花束
bowel,[名]腸
bracket,[名]支え、同類
breathless,[形]息を切らした
bridegroom,[名]花婿
brisk,[形]活発な、元気のよい
broaden,[動]広げる、広がる
broadly,[副]大雑把に
brochure,[名]パンフレット
bruise,[名]あざ、打ち身
brunch,[名]昼食兼用朝食
brute,[名]獣
buffet,[名]ビュッフェ
bulletin,[名]公報
